symptoms,condition
I have muscle spasms and stiffness in lower back and difficulty bending and pain in lower back.,Lower back pain
I have pain radiating to legs and muscle spasms.,Lower back pain
I have difficulty bending and pain in lower back.,Lower back pain
I have pain radiating to legs.,Lower back pain
I have pain in lower back and muscle spasms and pain radiating to legs.,Lower back pain
I have stiffness in lower back and pain radiating to legs.,Lower back pain
I have pain in lower back and muscle spasms.,Lower back pain
I have pain radiating to legs and stiffness in lower back and pain in lower back.,Lower back pain
I have stiffness in lower back.,Lower back pain
I have pain radiating to legs and pain in lower back.,Lower back pain
I have stiffness in lower back and difficulty bending and pain radiating to legs and pain in lower back and muscle spasms.,Lower back pain
I have stiffness in lower back and pain in lower back and difficulty bending and muscle spasms and pain radiating to legs.,Lower back pain
I have stiffness in lower back and pain in lower back and muscle spasms.,Lower back pain
I have pain radiating to legs and muscle spasms.,Lower back pain
I have stiffness in lower back and muscle spasms and pain in lower back.,Lower back pain
I have difficulty bending and stiffness in lower back and pain in lower back and pain radiating to legs.,Lower back pain
I have difficulty bending and stiffness in lower back and muscle spasms and pain in lower back and pain radiating to legs.,Lower back pain
I have difficulty bending and pain in lower back.,Lower back pain
I have stiffness in lower back and pain in lower back and muscle spasms and difficulty bending.,Lower back pain
I have pain in lower back and pain radiating to legs.,Lower back pain
I have muscle spasms.,Lower back pain
I have pain radiating to legs.,Lower back pain
I have pain in lower back.,Lower back pain
I have pain radiating to legs and pain in lower back and muscle spasms.,Lower back pain
I have pain radiating to legs and pain in lower back and stiffness in lower back and muscle spasms and difficulty bending.,Lower back pain
I have muscle spasms and stiffness in lower back.,Lower back pain
I have difficulty bending and pain in lower back and pain radiating to legs.,Lower back pain
I have difficulty bending and pain radiating to legs and pain in lower back and muscle spasms and stiffness in lower back.,Lower back pain
I have pain in lower back and pain radiating to legs and difficulty bending.,Lower back pain
I have pain in lower back and stiffness in lower back and difficulty bending.,Lower back pain
I have pain radiating to legs and difficulty bending and muscle spasms and pain in lower back and stiffness in lower back.,Lower back pain
I have difficulty bending and pain radiating to legs and pain in lower back and stiffness in lower back and muscle spasms.,Lower back pain
I have difficulty bending and pain in lower back and muscle spasms and pain radiating to legs.,Lower back pain
I have difficulty bending and muscle spasms and pain in lower back.,Lower back pain
I have stiffness in lower back and pain in lower back and muscle spasms and pain radiating to legs and difficulty bending.,Lower back pain
I have difficulty bending and pain in lower back and pain radiating to legs.,Lower back pain
I have pain radiating to legs and stiffness in lower back and muscle spasms and pain in lower back.,Lower back pain
I have muscle spasms and pain radiating to legs.,Lower back pain
I have pain radiating to legs and muscle spasms and stiffness in lower back and pain in lower back.,Lower back pain
I have pain in lower back and pain radiating to legs.,Lower back pain
I have difficulty bending and pain in lower back and stiffness in lower back and pain radiating to legs and muscle spasms.,Lower back pain
I have muscle spasms.,Lower back pain
I have difficulty bending and pain radiating to legs and stiffness in lower back.,Lower back pain
I have pain in lower back and difficulty bending.,Lower back pain
I have difficulty bending and pain in lower back.,Lower back pain
I have pain radiating to legs and difficulty bending and muscle spasms and pain in lower back.,Lower back pain
I have difficulty bending and stiffness in lower back and pain radiating to legs.,Lower back pain
I have difficulty bending and muscle spasms and stiffness in lower back and pain in lower back and pain radiating to legs.,Lower back pain
I have difficulty bending and pain in lower back and stiffness in lower back.,Lower back pain
I have muscle spasms and pain in lower back.,Lower back pain
I have stiffness in lower back and pain in lower back.,Lower back pain
I have pain radiating to legs and muscle spasms and stiffness in lower back and pain in lower back and difficulty bending.,Lower back pain
I have difficulty bending and muscle spasms and pain radiating to legs and pain in lower back.,Lower back pain
I have muscle spasms and stiffness in lower back and pain radiating to legs and pain in lower back.,Lower back pain
I have pain radiating to legs.,Lower back pain
I have difficulty bending and stiffness in lower back.,Lower back pain
I have difficulty bending and pain radiating to legs and muscle spasms.,Lower back pain
I have difficulty bending and pain in lower back and stiffness in lower back.,Lower back pain
I have pain radiating to legs.,Lower back pain
I have pain in lower back and pain radiating to legs.,Lower back pain
I have muscle spasms.,Lower back pain
I have pain in lower back and muscle spasms and difficulty bending.,Lower back pain
I have pain in lower back and stiffness in lower back and difficulty bending and muscle spasms and pain radiating to legs.,Lower back pain
I have pain in lower back and stiffness in lower back and difficulty bending and pain radiating to legs and muscle spasms.,Lower back pain
I have pain radiating to legs and muscle spasms and stiffness in lower back and difficulty bending and pain in lower back.,Lower back pain
I have difficulty bending.,Lower back pain
I have muscle spasms and difficulty bending and pain in lower back and pain radiating to legs.,Lower back pain
I have pain radiating to legs and difficulty bending and muscle spasms and stiffness in lower back and pain in lower back.,Lower back pain
I have pain radiating to legs and stiffness in lower back and muscle spasms and pain in lower back.,Lower back pain
I have pain in lower back.,Lower back pain
I have difficulty bending and pain radiating to legs and muscle spasms.,Lower back pain
I have difficulty bending.,Lower back pain
I have difficulty bending and stiffness in lower back.,Lower back pain
I have muscle spasms and pain radiating to legs and pain in lower back.,Lower back pain
I have stiffness in lower back and muscle spasms and difficulty bending and pain in lower back and pain radiating to legs.,Lower back pain
I have stiffness in lower back and muscle spasms and difficulty bending.,Lower back pain
I have pain radiating to legs.,Lower back pain
I have pain radiating to legs and muscle spasms.,Lower back pain
I have difficulty bending and stiffness in lower back and pain in lower back and pain radiating to legs and muscle spasms.,Lower back pain
I have pain radiating to legs and muscle spasms.,Lower back pain
I have pain radiating to legs.,Lower back pain
I have stiffness in lower back and muscle spasms and pain in lower back.,Lower back pain
I have pain radiating to legs and stiffness in lower back and pain in lower back and muscle spasms and difficulty bending.,Lower back pain
I have difficulty bending and pain in lower back and stiffness in lower back.,Lower back pain
I have muscle spasms and stiffness in lower back and pain in lower back.,Lower back pain
I have muscle spasms.,Lower back pain
I have pain radiating to legs and difficulty bending.,Lower back pain
I have pain radiating to legs and stiffness in lower back.,Lower back pain
I have pain radiating to legs and difficulty bending.,Lower back pain
I have muscle spasms and pain in lower back and difficulty bending and pain radiating to legs and stiffness in lower back.,Lower back pain
I have difficulty bending.,Lower back pain
I have pain in lower back and pain radiating to legs.,Lower back pain
I have difficulty bending.,Lower back pain
I have pain in lower back and difficulty bending and pain radiating to legs.,Lower back pain
I have stiffness in lower back.,Lower back pain
I have stiffness in lower back and muscle spasms and pain in lower back and difficulty bending and pain radiating to legs.,Lower back pain
I have pain in lower back.,Lower back pain
I have difficulty bending and pain radiating to legs and stiffness in lower back.,Lower back pain
I have muscle spasms and stiffness in lower back.,Lower back pain
I have muscle spasms and pain radiating to legs.,Lower back pain
I have pain radiating to shoulders and headaches and stiffness in neck and limited range of motion.,Neck pain
I have limited range of motion.,Neck pain
I have pain in neck and pain radiating to shoulders and stiffness in neck and headaches and limited range of motion.,Neck pain
I have pain radiating to shoulders and pain in neck.,Neck pain
I have limited range of motion and pain in neck.,Neck pain
I have stiffness in neck and pain in neck and limited range of motion.,Neck pain
I have limited range of motion.,Neck pain
I have stiffness in neck and limited range of motion and headaches and pain radiating to shoulders and pain in neck.,Neck pain
I have pain in neck and limited range of motion and pain radiating to shoulders and headaches.,Neck pain
I have headaches.,Neck pain
I have limited range of motion and pain in neck and pain radiating to shoulders and stiffness in neck.,Neck pain
I have headaches and pain in neck.,Neck pain
I have pain in neck and stiffness in neck and limited range of motion and pain radiating to shoulders and headaches.,Neck pain
I have stiffness in neck and pain in neck and pain radiating to shoulders and limited range of motion and headaches.,Neck pain
I have pain radiating to shoulders and stiffness in neck and limited range of motion and headaches.,Neck pain
I have pain in neck and pain radiating to shoulders and limited range of motion and headaches and stiffness in neck.,Neck pain
I have headaches and pain radiating to shoulders and stiffness in neck.,Neck pain
I have stiffness in neck and pain in neck and limited range of motion and pain radiating to shoulders.,Neck pain
I have pain radiating to shoulders and limited range of motion.,Neck pain
I have headaches and pain radiating to shoulders and pain in neck and stiffness in neck and limited range of motion.,Neck pain
I have headaches and pain in neck.,Neck pain
I have pain radiating to shoulders and stiffness in neck and limited range of motion and pain in neck and headaches.,Neck pain
I have stiffness in neck and pain radiating to shoulders and limited range of motion and pain in neck and headaches.,Neck pain
I have pain radiating to shoulders and headaches and pain in neck and stiffness in neck.,Neck pain
I have limited range of motion and pain radiating to shoulders and stiffness in neck.,Neck pain
I have headaches and limited range of motion and pain in neck.,Neck pain
I have pain in neck and pain radiating to shoulders.,Neck pain
I have limited range of motion and stiffness in neck and pain radiating to shoulders and pain in neck.,Neck pain
I have stiffness in neck and headaches.,Neck pain
I have limited range of motion.,Neck pain
I have headaches and pain radiating to shoulders and pain in neck and stiffness in neck and limited range of motion.,Neck pain
I have headaches and pain in neck and pain radiating to shoulders.,Neck pain
I have limited range of motion and headaches and pain in neck.,Neck pain
I have pain radiating to shoulders and pain in neck and headaches and limited range of motion.,Neck pain
I have pain in neck and stiffness in neck and limited range of motion and headaches.,Neck pain
I have pain radiating to shoulders and stiffness in neck and limited range of motion.,Neck pain
I have stiffness in neck and limited range of motion.,Neck pain
I have pain in neck and headaches and pain radiating to shoulders and stiffness in neck and limited range of motion.,Neck pain
I have stiffness in neck and limited range of motion and headaches and pain in neck and pain radiating to shoulders.,Neck pain
I have pain in neck and limited range of motion and pain radiating to shoulders and headaches.,Neck pain
I have pain radiating to shoulders and stiffness in neck and headaches.,Neck pain
I have headaches.,Neck pain
I have limited range of motion and pain in neck.,Neck pain
I have pain radiating to shoulders and headaches and pain in neck and stiffness in neck and limited range of motion.,Neck pain
I have headaches.,Neck pain
I have headaches and limited range of motion and pain in neck and pain radiating to shoulders.,Neck pain
I have pain radiating to shoulders and stiffness in neck and limited range of motion.,Neck pain
I have limited range of motion and pain in neck and headaches and pain radiating to shoulders and stiffness in neck.,Neck pain
I have stiffness in neck and limited range of motion.,Neck pain
I have headaches and limited range of motion and pain in neck and pain radiating to shoulders.,Neck pain
I have pain in neck.,Neck pain
I have pain radiating to shoulders and limited range of motion and pain in neck.,Neck pain
I have pain in neck.,Neck pain
I have stiffness in neck and limited range of motion and pain in neck and headaches and pain radiating to shoulders.,Neck pain
I have pain radiating to shoulders and stiffness in neck and headaches and limited range of motion and pain in neck.,Neck pain
I have pain in neck.,Neck pain
I have stiffness in neck and pain radiating to shoulders and limited range of motion and pain in neck.,Neck pain
I have pain radiating to shoulders.,Neck pain
I have limited range of motion and stiffness in neck and pain radiating to shoulders and headaches.,Neck pain
I have limited range of motion and stiffness in neck.,Neck pain
I have stiffness in neck and headaches.,Neck pain
I have stiffness in neck and pain in neck and headaches.,Neck pain
I have limited range of motion and stiffness in neck and pain in neck and headaches.,Neck pain
I have headaches and limited range of motion.,Neck pain
I have pain in neck and headaches.,Neck pain
I have pain radiating to shoulders.,Neck pain
I have stiffness in neck and pain radiating to shoulders and pain in neck and limited range of motion and headaches.,Neck pain
I have pain radiating to shoulders and pain in neck.,Neck pain
I have headaches and stiffness in neck and pain in neck and limited range of motion.,Neck pain
I have pain in neck and stiffness in neck and pain radiating to shoulders and limited range of motion.,Neck pain
I have pain radiating to shoulders and headaches and limited range of motion and stiffness in neck and pain in neck.,Neck pain
I have limited range of motion and headaches and stiffness in neck.,Neck pain
I have pain in neck and stiffness in neck and pain radiating to shoulders and headaches.,Neck pain
I have pain in neck and limited range of motion and headaches and pain radiating to shoulders and stiffness in neck.,Neck pain
I have stiffness in neck and headaches and pain radiating to shoulders.,Neck pain
I have limited range of motion and headaches and stiffness in neck and pain in neck and pain radiating to shoulders.,Neck pain
I have stiffness in neck.,Neck pain
I have pain radiating to shoulders.,Neck pain
I have stiffness in neck and pain radiating to shoulders and headaches.,Neck pain
I have stiffness in neck and headaches and limited range of motion and pain radiating to shoulders and pain in neck.,Neck pain
I have headaches and pain in neck.,Neck pain
I have headaches and limited range of motion and pain in neck and pain radiating to shoulders.,Neck pain
I have pain radiating to shoulders and pain in neck and stiffness in neck.,Neck pain
I have pain in neck and limited range of motion and pain radiating to shoulders.,Neck pain
I have pain radiating to shoulders and headaches and stiffness in neck and limited range of motion and pain in neck.,Neck pain
I have headaches and stiffness in neck.,Neck pain
I have pain radiating to shoulders.,Neck pain
I have pain radiating to shoulders and limited range of motion and stiffness in neck and pain in neck.,Neck pain
I have pain in neck and pain radiating to shoulders and stiffness in neck and limited range of motion and headaches.,Neck pain
I have headaches and limited range of motion and stiffness in neck.,Neck pain
I have pain radiating to shoulders and pain in neck.,Neck pain
I have headaches and limited range of motion and pain radiating to shoulders and stiffness in neck and pain in neck.,Neck pain
I have pain in neck and pain radiating to shoulders and limited range of motion.,Neck pain
I have limited range of motion.,Neck pain
I have pain radiating to shoulders.,Neck pain
I have stiffness in neck and pain in neck and headaches.,Neck pain
I have pain radiating to shoulders.,Neck pain
I have limited range of motion.,Neck pain
I have stiffness in neck.,Neck pain
I have limited range of motion and pain in neck.,Neck pain
I have pain when reaching overhead and pain in shoulder and weakness in shoulder.,Shoulder impingement
I have pain in shoulder and difficulty lifting arm and weakness in shoulder.,Shoulder impingement
I have pain in shoulder and weakness in shoulder.,Shoulder impingement
I have pain when reaching overhead and difficulty lifting arm and pain in shoulder.,Shoulder impingement
I have pain when reaching overhead.,Shoulder impingement
I have difficulty lifting arm.,Shoulder impingement
I have pain in shoulder and weakness in shoulder and difficulty lifting arm and pain when reaching overhead.,Shoulder impingement
I have pain when reaching overhead.,Shoulder impingement
I have difficulty lifting arm and weakness in shoulder and pain in shoulder and pain when reaching overhead.,Shoulder impingement
I have weakness in shoulder and pain when reaching overhead and difficulty lifting arm and pain in shoulder.,Shoulder impingement
I have difficulty lifting arm and pain when reaching overhead and pain in shoulder and weakness in shoulder.,Shoulder impingement
I have pain in shoulder.,Shoulder impingement
I have pain when reaching overhead.,Shoulder impingement
I have weakness in shoulder and pain in shoulder and difficulty lifting arm.,Shoulder impingement
I have pain when reaching overhead and pain in shoulder.,Shoulder impingement
I have pain when reaching overhead and pain in shoulder and weakness in shoulder.,Shoulder impingement
I have difficulty lifting arm and pain in shoulder and weakness in shoulder.,Shoulder impingement
I have difficulty lifting arm and weakness in shoulder.,Shoulder impingement
I have weakness in shoulder.,Shoulder impingement
I have difficulty lifting arm and pain in shoulder and weakness in shoulder and pain when reaching overhead.,Shoulder impingement
I have difficulty lifting arm and pain when reaching overhead.,Shoulder impingement
I have pain when reaching overhead.,Shoulder impingement
I have difficulty lifting arm.,Shoulder impingement
I have pain in shoulder.,Shoulder impingement
I have difficulty lifting arm.,Shoulder impingement
I have pain in shoulder and pain when reaching overhead and weakness in shoulder.,Shoulder impingement
I have difficulty lifting arm and weakness in shoulder.,Shoulder impingement
I have difficulty lifting arm and pain in shoulder and weakness in shoulder.,Shoulder impingement
I have pain in shoulder and weakness in shoulder.,Shoulder impingement
I have weakness in shoulder and pain in shoulder and pain when reaching overhead.,Shoulder impingement
I have difficulty lifting arm.,Shoulder impingement
I have difficulty lifting arm and weakness in shoulder.,Shoulder impingement
I have weakness in shoulder.,Shoulder impingement
I have pain in shoulder and pain when reaching overhead.,Shoulder impingement
I have weakness in shoulder.,Shoulder impingement
I have difficulty lifting arm and pain in shoulder and pain when reaching overhead and weakness in shoulder.,Shoulder impingement
I have difficulty lifting arm.,Shoulder impingement
I have pain in shoulder and pain when reaching overhead and difficulty lifting arm.,Shoulder impingement
I have pain in shoulder and weakness in shoulder and difficulty lifting arm and pain when reaching overhead.,Shoulder impingement
I have pain when reaching overhead and pain in shoulder.,Shoulder impingement
I have pain when reaching overhead and weakness in shoulder and difficulty lifting arm.,Shoulder impingement
I have pain in shoulder.,Shoulder impingement
I have difficulty lifting arm.,Shoulder impingement
I have pain in shoulder and pain when reaching overhead and weakness in shoulder.,Shoulder impingement
I have pain when reaching overhead and weakness in shoulder.,Shoulder impingement
I have pain in shoulder and difficulty lifting arm.,Shoulder impingement
I have difficulty lifting arm and weakness in shoulder and pain when reaching overhead.,Shoulder impingement
I have difficulty lifting arm and weakness in shoulder and pain in shoulder and pain when reaching overhead.,Shoulder impingement
I have difficulty lifting arm and pain when reaching overhead and weakness in shoulder and pain in shoulder.,Shoulder impingement
I have pain in shoulder and weakness in shoulder and pain when reaching overhead.,Shoulder impingement
I have difficulty lifting arm and pain when reaching overhead.,Shoulder impingement
I have pain when reaching overhead and difficulty lifting arm and weakness in shoulder and pain in shoulder.,Shoulder impingement
I have pain in shoulder.,Shoulder impingement
I have weakness in shoulder.,Shoulder impingement
I have pain when reaching overhead and difficulty lifting arm and pain in shoulder and weakness in shoulder.,Shoulder impingement
I have difficulty lifting arm.,Shoulder impingement
I have weakness in shoulder and pain in shoulder and pain when reaching overhead.,Shoulder impingement
I have difficulty lifting arm and pain in shoulder and weakness in shoulder and pain when reaching overhead.,Shoulder impingement
I have pain in shoulder and weakness in shoulder and pain when reaching overhead.,Shoulder impingement
I have pain in shoulder and difficulty lifting arm and pain when reaching overhead.,Shoulder impingement
I have weakness in shoulder.,Shoulder impingement
I have pain when reaching overhead.,Shoulder impingement
I have pain in shoulder and weakness in shoulder and pain when reaching overhead.,Shoulder impingement
I have pain when reaching overhead.,Shoulder impingement
I have pain when reaching overhead.,Shoulder impingement
I have weakness in shoulder and difficulty lifting arm and pain when reaching overhead and pain in shoulder.,Shoulder impingement
I have pain in shoulder and difficulty lifting arm and weakness in shoulder and pain when reaching overhead.,Shoulder impingement
I have difficulty lifting arm and weakness in shoulder.,Shoulder impingement
I have difficulty lifting arm and pain when reaching overhead.,Shoulder impingement
I have pain in shoulder and pain when reaching overhead and difficulty lifting arm and weakness in shoulder.,Shoulder impingement
I have pain in shoulder and difficulty lifting arm and pain when reaching overhead and weakness in shoulder.,Shoulder impingement
I have weakness in shoulder and difficulty lifting arm and pain when reaching overhead and pain in shoulder.,Shoulder impingement
I have pain in shoulder.,Shoulder impingement
I have pain when reaching overhead and weakness in shoulder and pain in shoulder and difficulty lifting arm.,Shoulder impingement
I have pain in shoulder.,Shoulder impingement
I have pain when reaching overhead.,Shoulder impingement
I have pain in shoulder.,Shoulder impingement
I have pain when reaching overhead.,Shoulder impingement
I have difficulty lifting arm and weakness in shoulder.,Shoulder impingement
I have pain in shoulder.,Shoulder impingement
I have difficulty lifting arm and pain when reaching overhead and pain in shoulder and weakness in shoulder.,Shoulder impingement
I have pain in shoulder and pain when reaching overhead.,Shoulder impingement
I have difficulty lifting arm.,Shoulder impingement
I have pain in shoulder and weakness in shoulder.,Shoulder impingement
I have pain in shoulder.,Shoulder impingement
I have pain in shoulder and weakness in shoulder and pain when reaching overhead.,Shoulder impingement
I have weakness in shoulder and difficulty lifting arm and pain in shoulder.,Shoulder impingement
I have pain in shoulder and pain when reaching overhead and weakness in shoulder.,Shoulder impingement
I have pain when reaching overhead and weakness in shoulder.,Shoulder impingement
I have pain when reaching overhead and pain in shoulder and weakness in shoulder and difficulty lifting arm.,Shoulder impingement
I have weakness in shoulder and pain when reaching overhead.,Shoulder impingement
I have pain in shoulder and weakness in shoulder.,Shoulder impingement
I have weakness in shoulder and difficulty lifting arm and pain in shoulder.,Shoulder impingement
I have pain in shoulder and weakness in shoulder.,Shoulder impingement
I have difficulty lifting arm and pain in shoulder.,Shoulder impingement
I have difficulty lifting arm.,Shoulder impingement
I have pain in shoulder and weakness in shoulder.,Shoulder impingement
I have weakness in shoulder.,Shoulder impingement
I have difficulty lifting arm and pain in shoulder and weakness in shoulder and pain when reaching overhead.,Shoulder impingement
I have difficulty lifting arm and pain when reaching overhead and weakness in shoulder and pain in shoulder.,Shoulder impingement
I have pain in knee and swelling in knee and difficulty walking.,Knee osteoarthritis
I have swelling in knee and pain in knee and stiffness in knee and difficulty walking.,Knee osteoarthritis
I have stiffness in knee and difficulty walking.,Knee osteoarthritis
I have stiffness in knee and pain in knee and swelling in knee and difficulty walking.,Knee osteoarthritis
I have difficulty walking and pain in knee and swelling in knee and stiffness in knee.,Knee osteoarthritis
I have swelling in knee and pain in knee.,Knee osteoarthritis
I have stiffness in knee and swelling in knee.,Knee osteoarthritis
I have stiffness in knee and swelling in knee and pain in knee.,Knee osteoarthritis
I have pain in knee.,Knee osteoarthritis
I have difficulty walking and swelling in knee.,Knee osteoarthritis
I have pain in knee and stiffness in knee and swelling in knee and difficulty walking.,Knee osteoarthritis
I have swelling in knee and stiffness in knee and pain in knee and difficulty walking.,Knee osteoarthritis
I have swelling in knee and difficulty walking and pain in knee and stiffness in knee.,Knee osteoarthritis
I have swelling in knee and difficulty walking.,Knee osteoarthritis
